group_type,group_name,country
zone,Europe,Albania
zone,Europe,Andorra
zone,Europe,Austria
zone,Europe,Belgium
zone,Europe,Bosnia and Herzegovina
zone,Europe,Bulgaria
zone,Europe,Croatia
zone,Europe,Cyprus
zone,Europe,Czechia
zone,Europe,Denmark
zone,Europe,Faeroe Islands
zone,Europe,Finland
zone,Europe,France
zone,Europe,Germany
zone,Europe,Gibraltar
zone,Europe,Greece
zone,Europe,Hungary
zone,Europe,Iceland
zone,Europe,Ireland
zone,Europe,Italy
zone,Europe,Liechtenstein
zone,Europe,Luxembourg
zone,Europe,Malta
zone,Europe,Monaco
zone,Europe,Montenegro
zone,Europe,Netherlands
zone,Europe,Norway
zone,Europe,Poland
zone,Europe,Portugal
zone,Europe,Romania
zone,Europe,Serbia
zone,Europe,San Marino
zone,Europe,Slovakia
zone,Europe,Slovenia
zone,Europe,Spain
zone,Europe,Sweden
zone,Europe,Switzerland
zone,Europe,Turkey
zone,Europe,United Kingdom
zone,Europe,Czechoslovakia
zone,Europe,Macedonia
zone,Europe,Yugoslavia
zone,Eurasia,Armenia
zone,Eurasia,Azerbaijan
zone,Eurasia,Belarus
zone,Eurasia,Estonia
zone,Eurasia,Georgia
zone,Eurasia,Kazakhstan
zone,Eurasia,Kyrgyzstan
zone,Eurasia,Latvia
zone,Eurasia,Lithuania
zone,Eurasia,Moldova
zone,Eurasia,Russian Federation & USSR
zone,Eurasia,Tajikistan
zone,Eurasia,Turkmenistan
zone,Eurasia,Ukraine
zone,Eurasia,Uzbekistan
zone,Africa,Algeria
zone,Africa,Angola
zone,Africa,Benin
zone,Africa,Botswana
zone,Africa,Burkina Faso
zone,Africa,Burundi
zone,Africa,Ivory Coast
zone,Africa,Cameroon
zone,Africa,Cape Verde
zone,Africa,Central African Republic
zone,Africa,Chad
zone,Africa,Comoros
zone,Africa,Congo
zone,Africa,Democratic Republic of the Congo
zone,Africa,Djibouti
zone,Africa,Egypt
zone,Africa,Equatorial Guinea
zone,Africa,Eritrea
zone,Africa,Ethiopia
zone,Africa,Gabon
zone,Africa,Gambia
zone,Africa,Ghana
zone,Africa,Guinea
zone,Africa,Guinea-Bissau
zone,Africa,Kenya
zone,Africa,Lesotho
zone,Africa,Liberia
zone,Africa,Libya
zone,Africa,Madagascar
zone,Africa,Malawi
zone,Africa,Mali
zone,Africa,Mauritania
zone,Africa,Mauritius
zone,Africa,Morocco
zone,Africa,Mozambique
zone,Africa,Namibia
zone,Africa,Niger
zone,Africa,Nigeria
zone,Africa,Reunion
zone,Africa,Rwanda
zone,Africa,Eswatini
zone,Africa,Saint Helena
zone,Africa,Sao Tome and Principe
