group_type,group_name,country
zone,Africa,Senegal
zone,Africa,Seychelles
zone,Africa,Sierra Leone
zone,Africa,Somalia
zone,Africa,South Africa
zone,Africa,South Sudan
zone,Africa,Sudan
zone,Africa,Swaziland
zone,Africa,Togo
zone,Africa,Tunisia
zone,Africa,Uganda
zone,Africa,Tanzania
zone,Africa,Zambia
zone,Africa,Zimbabwe
zone,Africa,Western Sahara
zone,Asia and Oceania,Afghanistan
zone,Asia and Oceania,American Samoa
zone,Asia and Oceania,Australia
zone,Asia and Oceania,Bangladesh
zone,Asia and Oceania,Bhutan
zone,Asia and Oceania,Brunei Darussalam
zone,Asia and Oceania,Cambodia
zone,Asia and Oceania,China
zone,Asia and Oceania,Hong Kong Special Administrative Region (China)
zone,Asia and Oceania,Macao Special Administrative Region (China)
zone,Asia and Oceania,Cook Islands
zone,Asia and Oceania,North Korea
zone,Asia and Oceania,Fiji
zone,Asia and Oceania,French Polynesia
zone,Asia and Oceania,Guam
zone,Asia and Oceania,India
zone,Asia and Oceania,Indonesia
zone,Asia and Oceania,Japan
zone,Asia and Oceania,Kiribati
zone,Asia and Oceania,Laos
zone,Asia and Oceania,Malaysia
zone,Asia and Oceania,Maldives
zone,Asia and Oceania,Mongolia
zone,Asia and Oceania,Nauru
zone,Asia and Oceania,Nepal
zone,Asia and Oceania,New Caledonia
zone,Asia and Oceania,New Zealand
zone,Asia and Oceania,Niue
zone,Asia and Oceania,Pakistan
zone,Asia and Oceania,Papua New Guinea
zone,Asia and Oceania,Philippines
zone,Asia and Oceania,South Korea
zone,Asia and Oceania,Samoa
zone,Asia and Oceania,Singapore
zone,Asia and Oceania,Solomon Islands
zone,Asia and Oceania,Sri Lanka
zone,Asia and Oceania,Thailand
zone,Asia and Oceania,Timor-Leste
zone,Asia and Oceania,Tonga
zone,Asia and Oceania,Vanuatu
zone,Asia and Oceania,Viet Nam
zone,Asia and Oceania,Burma
zone,Asia and Oceania,Taiwan
zone,Asia and Oceania,US Pacific Islands
zone,Asia and Oceania,Wake Island
zone,Asia and Oceania,Palau
zone,North America,Bermuda
zone,North America,Canada
zone,North America,Greenland
zone,North America,Mexico
zone,North America,Saint Pierre and Miquelon
zone,North America,United States of America
zone,Central and South America,Antigua and Barbuda
zone,Central and South America,Argentina
zone,Central and South America,Aruba
zone,Central and South America,Bahamas
zone,Central and South America,Barbados
zone,Central and South America,Belize
zone,Central and South America,Bolivia
zone,Central and South America,Brazil
zone,Central and South America,British Virgin Islands
zone,Central and South America,Cayman Islands
zone,Central and South America,Chile
zone,Central and South America,Colombia
zone,Central and South America,Costa Rica
zone,Central and South America,Cuba
zone,Central and South America,Dominica
zone,Central and South America,Dominican Republic
zone,Central and South America,Ecuador
zone,Central and South America,El Salvador
zone,Central and South America,Falkland Islands (Malvinas)
zone,Central and South America,French Guiana
zone,Central and South America,Grenada
zone,Central and South America,Guadeloupe
zone,Central and South America,Guatemala
zone,Central and South America,Guyana
zone,Central and South America,Haiti
zone,Central and South America,Honduras
zone,Central and South America,Jamaica
zone,Central and South America,Martinique
zone,Central and South America,Montserrat
zone,Central and South America,Netherlands Antilles
zone,Central and South America,Nicaragua
zone,Central and South America,Panama
zone,Central and South America,Paraguay
zone,Central and South America,Peru
zone,Central and South America,Puerto Rico
zone,Central and South America,Saint Kitts and Nevis
zone,Central and South America,Saint Lucia
zone,Central and South America,Saint Vincent and the Grenadines
zone,Central and South America,Suriname
zone,Central and South America,Trinidad and Tobago
zone,Central and South America,Turks and Caicos Islands
zone,Central and South America,United States Virgin Islands
zone,Central and South America,Uruguay
zone,Central and South America,Venezuela
zone,Middle East,Bahrain
zone,Middle East,Iran
zone,Middle East,Iraq
zone,Middle East,Israel
zone,Middle East,Jordan
zone,Middle East,Kuwait
zone,Middle East,Lebanon
zone,Middle East,Oman
zone,Middle East,Qatar
zone,Middle East,Saudi Arabia
zone,Middle East,Syria
zone,Middle East,United Arab Emirates
zone,Middle East,Yemen
zone,Middle East,Palestine
zone,World,Afghanistan
zone,World,Albania
zone,World,Algeria
zone,World,American Samoa
zone,World,Angola
zone,World,Antigua and Barbuda
zone,World,Argentina
zone,World,Armenia
zone,World,Aruba
zone,World,Australia
zone,World,Austria
zone,World,Azerbaijan
zone,World,Bahamas
zone,World,Bahrain
zone,World,Bangladesh
zone,World,Barbados
zone,World,Belarus
zone,World,Belgium
zone,World,Belize
zone,World,Benin
zone,World,Bermuda
zone,World,Bhutan
zone,World,Bolivia
zone,World,Bosnia and Herzegovina
zone,World,Botswana
zone,World,Brazil
zone,World,British Virgin Islands
zone,World,Brunei Darussalam
zone,World,Bulgaria
zone,World,Burkina Faso
zone,World,Burundi
zone,World,Ivory Coast
zone,World,Cambodia
zone,World,Cameroon
zone,World,Canada
zone,World,Cape Verde
zone,World,Cayman Islands
zone,World,Central African Republic
zone,World,Chad
zone,World,Chile
zone,World,China
zone,World,Hong Kong Special Administrative Region (China)
zone,World,Macao Special Administrative Region (China)
zone,World,Colombia
zone,World,Comoros
zone,World,Congo
zone,World,Cook Islands
zone,World,Costa Rica
zone,World,Croatia
zone,World,Cuba
zone,World,Cyprus
zone,World,Czechia
zone,World,North Korea
zone,World,Democratic Republic of the Congo
zone,World,Denmark
zone,World,Djibouti
zone,World,Dominica
zone,World,Dominican Republic
zone,World,Ecuador
zone,World,Egypt
zone,World,El Salvador
zone,World,Equatorial Guinea
zone,World,Eritrea
zone,World,Estonia
zone,World,Ethiopia
zone,World,Faeroe Islands
zone,World,Falkland Islands (Malvinas)
zone,World,Fiji
zone,World,Finland
zone,World,France
zone,World,French Guiana
zone,World,French Polynesia
zone,World,Gabon
zone,World,Gambia
zone,World,Georgia
zone,World,Germany
zone,World,Ghana
zone,World,Gibraltar
zone,World,Greece
zone,World,Greenland
zone,World,Grenada
zone,World,Guadeloupe
zone,World,Guam
zone,World,Guatemala
zone,World,Guinea
zone,World,Guinea-Bissau
zone,World,Guyana
zone,World,Haiti
zone,World,Honduras
zone,World,Hungary
zone,World,Iceland
zone,World,India
zone,World,Indonesia
zone,World,Iran
zone,World,Iraq
zone,World,Ireland
zone,World,Israel
zone,World,Italy
zone,World,Jamaica
zone,World,Japan
zone,World,Jordan
zone,World,Kazakhstan
zone,World,Kenya
zone,World,Kiribati
zone,World,Kuwait
zone,World,Kyrgyzstan
zone,World,Laos
zone,World,Latvia
zone,World,Lebanon
zone,World,Lesotho
zone,World,Liberia
zone,World,Libya
zone,World,Lithuania
zone,World,Luxembourg
zone,World,Madagascar
zone,World,Malawi
zone,World,Malaysia
zone,World,Maldives
zone,World,Mali
zone,World,Malta
zone,World,Martinique
zone,World,Mauritania
zone,World,Mauritius
zone,World,Mexico
zone,World,Mongolia
zone,World,Montenegro
zone,World,Montserrat
zone,World,Morocco
zone,World,Mozambique
zone,World,Namibia
zone,World,Nauru
zone,World,Nepal
zone,World,Netherlands
zone,World,Netherlands Antilles
zone,World,New Caledonia
zone,World,New Zealand
zone,World,Nicaragua
zone,World,Niger
zone,World,Nigeria
zone,World,Niue
zone,World,Norway
zone,World,Oman
zone,World,Pakistan
zone,World,Panama
zone,World,Papua New Guinea
zone,World,Paraguay
zone,World,Peru
zone,World,Philippines
zone,World,Poland
zone,World,Portugal
zone,World,Puerto Rico
zone,World,Qatar
zone,World,Reunion
zone,World,South Korea
zone,World,Moldova
zone,World,Romania
zone,World,Russian Federation & USSR
zone,World,Rwanda
zone,World,Saint Helena
zone,World,Saint Kitts and Nevis
zone,World,Saint Lucia
zone,World,Saint Pierre and Miquelon
zone,World,Saint Vincent and the Grenadines
zone,World,Samoa
zone,World,Sao Tome and Principe
zone,World,Saudi Arabia
zone,World,Senegal
zone,World,Serbia
zone,World,Seychelles
zone,World,Sierra Leone
zone,World,Singapore
zone,World,Slovakia
zone,World,Slovenia
zone,World,Solomon Islands
zone,World,Somalia
zone,World,South Africa
zone,World,Spain
zone,World,Sri Lanka
zone,World,Sudan
zone,World,Suriname
zone,World,Swaziland
zone,World,Sweden
zone,World,Switzerland
zone,World,Syria
zone,World,Tajikistan
zone,World,Thailand
zone,World,Timor-Leste
zone,World,Togo
zone,World,Tonga
zone,World,Trinidad and Tobago
zone,World,Tunisia
zone,World,Turkey
zone,World,Turkmenistan
zone,World,Turks and Caicos Islands
zone,World,Uganda
zone,World,Ukraine
zone,World,United Arab Emirates
zone,World,United Kingdom
zone,World,Tanzania
zone,World,United States of America
zone,World,United States Virgin Islands
zone,World,Uruguay
zone,World,Uzbekistan
zone,World,Vanuatu
zone,World,Venezuela
zone,World,Viet Nam
zone,World,Yemen
zone,World,Zambia
zone,World,Zimbabwe
zone,World,Burma
zone,World,Taiwan
zone,World,Czechoslovakia
zone,World,Macedonia
zone,World,Palestine
zone,World,US Pacific Islands
zone,World,Wake Island
zone,World,Western Sahara
zone,World,Yugoslavia
zone,World,Palau
group,Persian Gulf,Bahrain
group,Persian Gulf,Iran
group,Persian Gulf,Iraq
group,Persian Gulf,Kuwait
group,Persian Gulf,Qatar
group,Persian Gulf,Saudi Arabia
group,Persian Gulf,United Arab Emirates
group,OECD,Australia
group,OECD,Austria
group,OECD,Belgium
group,OECD,Canada
group,OECD,Chile
group,OECD,Czechia
group,OECD,Denmark
group,OECD,Finland
group,OECD,France
group,OECD,Germany
group,OECD,Greece
group,OECD,Hungary
group,OECD,Iceland
group,OECD,Ireland
group,OECD,Italy
group,OECD,Japan
group,OECD,Luxembourg
group,OECD,Mexico
group,OECD,Netherlands
group,OECD,New Zealand
group,OECD,Norway
group,OECD,Poland
group,OECD,Portugal
group,OECD,South Korea
group,OECD,Slovakia
group,OECD,Spain
group,OECD,Sweden
group,OECD,Switzerland
group,OECD,Turkey
group,OECD,United Kingdom
group,OECD,United States of America
group,EU27,Austria
group,EU27,Belgium
group,EU27,Bulgaria
group,EU27,Cyprus
group,EU27,Czechia
group,EU27,Denmark
group,EU27,Estonia
group,EU27,Finland
group,EU27,France
group,EU27,Germany
group,EU27,Greece
group,EU27,Hungary
group,EU27,Ireland
group,EU27,Italy
group,EU27,Latvia
group,EU27,Lithuania
group,EU27,Luxembourg
group,EU27,Malta
group,EU27,Netherlands
group,EU27,Poland
group,EU27,Portugal
group,EU27,Romania
group,EU27,Slovakia
group,EU27,Slovenia
group,EU27,Spain
group,EU27,Sweden
group,EU27,Croatia
group,OPEC,Algeria
group,OPEC,Angola
group,OPEC,Iran
group,OPEC,Iraq
group,OPEC,Kuwait
group,OPEC,Nigeria
group,OPEC,Saudi Arabia
group,OPEC,United Arab Emirates
group,OPEC,Venezuela
group,OECD,Colombia
group,OECD,Costa Rica
group,OECD,Estonia
group,OECD,Israel
group,OECD,Latvia
group,OECD,Lithuania
group,OECD,Slovenia
group,OPEC,Congo
group,OPEC,Equatorial Guinea
group,OPEC,Gabon
group,OPEC,Libya
