country,country_code_a3,year,region_name,sub-region_name,group,type,subcategory,unit,source,value
Argentina,ARG,2000,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,27.4
Argentina,ARG,2000,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,312.49
Argentina,ARG,2000,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,26.64
Argentina,ARG,2001,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,23.65
Argentina,ARG,2001,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,262.34
Argentina,ARG,2001,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,22.69
Argentina,ARG,2002,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,21.85
Argentina,ARG,2002,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,257.3
Argentina,ARG,2002,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,20.88
Argentina,ARG,2003,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,25.45
Argentina,ARG,2003,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,277.51
Argentina,ARG,2003,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,24.46
Argentina,ARG,2004,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,31.34
Argentina,ARG,2004,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,318.01
Argentina,ARG,2004,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,30.429999999999996
Argentina,ARG,2005,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,33.26
Argentina,ARG,2005,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,319.75
Argentina,ARG,2005,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,32.25
Argentina,ARG,2006,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,36.82
Argentina,ARG,2006,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,320.29
Argentina,ARG,2006,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,35.68
Argentina,ARG,2007,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,40.79
Argentina,ARG,2007,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,359.31
Argentina,ARG,2007,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,39.83
Argentina,ARG,2008,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,43.01
Argentina,ARG,2008,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,366.28
Argentina,ARG,2008,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,42.03
Argentina,ARG,2009,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,41.88
Argentina,ARG,2009,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,350.99
Argentina,ARG,2009,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,40.82
Argentina,ARG,2010,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,44.99
Argentina,ARG,2010,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,366.85
Argentina,ARG,2010,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,43.89
Argentina,ARG,2011,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,48.199999999999996
Argentina,ARG,2011,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,384.11
Argentina,ARG,2011,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,47.15
Argentina,ARG,2012,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,51.720000000000006
Argentina,ARG,2012,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,393.97
Argentina,ARG,2012,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,50.699999999999996
Argentina,ARG,2013,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,52.04
Argentina,ARG,2013,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,384.7
Argentina,ARG,2013,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,50.9
