country,country_code_a3,year,region_name,sub-region_name,group,type,subcategory,unit,source,value
Argentina,ARG,2014,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,52.02
Argentina,ARG,2014,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,386.24
Argentina,ARG,2014,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,50.91
Argentina,ARG,2015,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,54.989999999999995
Argentina,ARG,2015,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,391.03
Argentina,ARG,2015,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,53.879999999999995
Argentina,ARG,2016,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,56.120000000000005
Argentina,ARG,2016,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,394.94
Argentina,ARG,2016,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,55.150000000000006
Argentina,ARG,2017,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,53.93
Argentina,ARG,2017,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,381.47
Argentina,ARG,2017,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,52.86
Argentina,ARG,2018,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,52.56999999999999
Argentina,ARG,2018,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,367.84
Argentina,ARG,2018,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,51.419999999999995
Argentina,ARG,2019,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,47.74
Argentina,ARG,2019,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,350.18
Argentina,ARG,2019,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,46.629999999999995
Argentina,ARG,2020,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,49.37
Argentina,ARG,2020,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,347.11
Argentina,ARG,2020,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,48.14
Argentina,ARG,2021,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,53.66
Argentina,ARG,2021,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,357.79
Argentina,ARG,2021,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,52.480000000000004
Argentina,ARG,2022,Americas,Latin America and the Caribbean,g20,Power sector emissions,Aggregate fuel,mtCO2,ember,49.89
Argentina,ARG,2022,Americas,Latin America and the Caribbean,g20,Power sector emissions,CO2 intensity,gCO2/kWh,ember,337.53
Argentina,ARG,2022,Americas,Latin America and the Caribbean,g20,Power sector emissions,Fuel,mtCO2,ember,48.489999999999995
Australia,AUS,2000,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,144.38000000000002
Australia,AUS,2000,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,725.68
Australia,AUS,2000,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,143.8
Australia,AUS,2001,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,152.62
Australia,AUS,2001,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,718.18
Australia,AUS,2001,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,152.05999999999997
Australia,AUS,2002,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,153.14
Australia,AUS,2002,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,710.4
Australia,AUS,2002,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,152.48
Australia,AUS,2003,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,151.92000000000002
Australia,AUS,2003,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,707.53
Australia,AUS,2003,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,151.15
Australia,AUS,2004,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,159.98000000000002
Australia,AUS,2004,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,712.6
Australia,AUS,2004,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,158.95999999999998
Australia,AUS,2005,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,155.55999999999997
Australia,AUS,2005,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,715.62
Australia,AUS,2005,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,154.36
Australia,AUS,2006,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,156.79999999999998
Australia,AUS,2006,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,707.43
Australia,AUS,2006,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,155.57000000000002
Australia,AUS,2007,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,162.91000000000003
Australia,AUS,2007,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,704.12
Australia,AUS,2007,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,161.60999999999999
Australia,AUS,2008,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,163.61
Australia,AUS,2008,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,707.86
Australia,AUS,2008,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,162.49
Australia,AUS,2009,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,166.0
Australia,AUS,2009,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,703.16
Australia,AUS,2009,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,165.06
Australia,AUS,2010,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,161.20999999999998
Australia,AUS,2010,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,686.09
Australia,AUS,2010,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,160.29000000000002
Australia,AUS,2011,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,161.63000000000002
Australia,AUS,2011,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,666.36
Australia,AUS,2011,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,160.52
Australia,AUS,2012,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,155.98999999999998
Australia,AUS,2012,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,663.25
Australia,AUS,2012,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,154.79
Australia,AUS,2013,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,146.82000000000002
Australia,AUS,2013,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,632.32
Australia,AUS,2013,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,145.42
Australia,AUS,2014,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,153.90000000000003
Australia,AUS,2014,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,630.69
Australia,AUS,2014,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,152.38
Australia,AUS,2015,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,149.50000000000003
Australia,AUS,2015,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,641.31
Australia,AUS,2015,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,148.04
Australia,AUS,2016,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,157.59000000000003
Australia,AUS,2016,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,633.89
Australia,AUS,2016,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,155.98
Australia,AUS,2017,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,156.96999999999997
Australia,AUS,2017,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,621.3
Australia,AUS,2017,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,155.27
Australia,AUS,2018,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,156.63
Australia,AUS,2018,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,618.3
Australia,AUS,2018,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,154.81
Australia,AUS,2019,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,147.47000000000003
Australia,AUS,2019,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,582.01
Australia,AUS,2019,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,145.42
Australia,AUS,2020,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,141.35000000000002
Australia,AUS,2020,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,553.55
Australia,AUS,2020,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,138.89000000000001
Australia,AUS,2021,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,133.95
Australia,AUS,2021,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,531.25
Australia,AUS,2021,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,131.25
Australia,AUS,2022,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Aggregate fuel,mtCO2,ember,129.64
Australia,AUS,2022,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,CO2 intensity,gCO2/kWh,ember,503.18
Australia,AUS,2022,Oceania,Australia and New Zealand,"oecd,g20",Power sector emissions,Fuel,mtCO2,ember,126.64
Austria,AUT,2000,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,13.229999999999999
Austria,AUT,2000,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,198.5
Austria,AUT,2000,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,11.88
Austria,AUT,2001,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,14.87
Austria,AUT,2001,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,221.42
Austria,AUT,2001,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,13.52
Austria,AUT,2002,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,14.63
Austria,AUT,2002,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,219.31
Austria,AUT,2002,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,13.309999999999999
Austria,AUT,2003,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,17.0
Austria,AUT,2003,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,272.48
Austria,AUT,2003,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,15.82
Austria,AUT,2004,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,16.939999999999998
Austria,AUT,2004,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,252.06
Austria,AUT,2004,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,15.610000000000001
Austria,AUT,2005,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,17.57
Austria,AUT,2005,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,249.81
Austria,AUT,2005,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,16.11
Austria,AUT,2006,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,17.02
Austria,AUT,2006,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,247.27
Austria,AUT,2006,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,15.4
Austria,AUT,2007,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,16.21
Austria,AUT,2007,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,228.42
Austria,AUT,2007,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,14.37
Austria,AUT,2008,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,16.09
Austria,AUT,2008,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,220.0
Austria,AUT,2008,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,14.19
Austria,AUT,2009,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,15.200000000000001
Austria,AUT,2009,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,199.4
Austria,AUT,2009,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,13.219999999999999
Austria,AUT,2010,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,17.56
Austria,AUT,2010,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,229.57
Austria,AUT,2010,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,15.59
Austria,AUT,2011,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,16.79
Austria,AUT,2011,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,239.16
Austria,AUT,2011,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,14.889999999999999
Austria,AUT,2012,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,15.01
Austria,AUT,2012,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,186.75
Austria,AUT,2012,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,12.83
Austria,AUT,2013,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,13.270000000000001
Austria,AUT,2013,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,172.16
Austria,AUT,2013,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,11.12
Austria,AUT,2014,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,11.45
Austria,AUT,2014,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,151.57
Austria,AUT,2014,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,9.34
Austria,AUT,2015,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.850000000000001
Austria,AUT,2015,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,174.45
Austria,AUT,2015,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,10.790000000000001
Austria,AUT,2016,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.72
Austria,AUT,2016,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,161.69
Austria,AUT,2016,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,10.549999999999999
Austria,AUT,2017,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,13.74
Austria,AUT,2017,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,171.46
Austria,AUT,2017,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,11.56
Austria,AUT,2018,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.959999999999999
Austria,AUT,2018,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,165.9
Austria,AUT,2018,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,10.79
Austria,AUT,2019,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,13.580000000000002
Austria,AUT,2019,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,160.46
Austria,AUT,2019,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,11.37
Austria,AUT,2020,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.100000000000001
Austria,AUT,2020,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,142.51
Austria,AUT,2020,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,9.86
Austria,AUT,2021,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.04
Austria,AUT,2021,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,147.57
Austria,AUT,2021,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,9.88
Austria,AUT,2022,Europe,Western Europe,"eu,oecd",Power sector emissions,Aggregate fuel,mtCO2,ember,12.1
Austria,AUT,2022,Europe,Western Europe,"eu,oecd",Power sector emissions,CO2 intensity,gCO2/kWh,ember,157.52
Austria,AUT,2022,Europe,Western Europe,"eu,oecd",Power sector emissions,Fuel,mtCO2,ember,10.19
Bahrain,BHR,2000,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,6.38
Bahrain,BHR,2000,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,490.02
Bahrain,BHR,2000,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,6.38
Bahrain,BHR,2001,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,6.73
Bahrain,BHR,2001,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,489.81
Bahrain,BHR,2001,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,6.73
Bahrain,BHR,2002,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,7.03
Bahrain,BHR,2002,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,490.24
Bahrain,BHR,2002,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,7.03
Bahrain,BHR,2003,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,7.23
Bahrain,BHR,2003,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,489.84
Bahrain,BHR,2003,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,7.23
Bahrain,BHR,2004,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,7.44
Bahrain,BHR,2004,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,490.12
Bahrain,BHR,2004,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,7.44
Bahrain,BHR,2005,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,8.92
Bahrain,BHR,2005,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,490.11
Bahrain,BHR,2005,Asia,Western Asia,middle_east,Power sector emissions,Fuel,mtCO2,ember,8.92
Bahrain,BHR,2006,Asia,Western Asia,middle_east,Power sector emissions,Aggregate fuel,mtCO2,ember,9.69
Bahrain,BHR,2006,Asia,Western Asia,middle_east,Power sector emissions,CO2 intensity,gCO2/kWh,ember,490.14
