period,productId,productName,activityId,activityName,countryRegionId,countryRegionName,countryRegionTypeId,countryRegionTypeName,dataFlagId,dataFlagDescription,unitName,value,unit
1949,4006,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,819.614615,MMTCD
1950,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1950,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1949,4008,CO2 emissions,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1949,1,Coal and coke,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1117.538985,MMTCD
1950,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1949,4002,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1117.538985,MMTCD
1950,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1949,4010,Consumed natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1949,4008,CO2 emissions,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1949,4010,Consumed natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1949,5,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,819.614615,MMTCD
1949,4008,CO2 emissions,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1950,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2382.046176,MMTCD
1950,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2382.046176,MMTCD
1949,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,819.614615,MMTCD
1949,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1117.538985,MMTCD
1950,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2382.046176,MMTCD
1949,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,819.614615,MMTCD
1949,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1950,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1949,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,819.614615,MMTCD
1950,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,1,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,5,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1950,4002,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,5,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1950,5,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1949,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1949,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1117.538985,MMTCD
1949,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1949,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1949,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1949,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1950,4010,Consumed natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1949,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1949,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2206.690829,MMTCD
1950,4008,CO2 emissions,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,2382.046176,MMTCD
1949,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,269.537229,MMTCD
1950,4006,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1950,1,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,3002,Natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,4006,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,917.619072,MMTCD
1950,3002,Natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1950,1,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1151.600346,MMTCD
1950,3002,Natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,312.826758,MMTCD
1949,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1117.538985,MMTCD
1949,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,819.614615,MMTCD
