,product_name,product_id
0,Coal and coke,1
1,Anthracite,11
2,Solar,116
3,Tide and wave,117
4,Subbituminous,119
5,Bituminous,12
6,Liquefied petroleum gases and ethane,13
7,Metallurgical coal,130
8,Lignite,14
9,Electricity,2
10,Metallurgical coke,21
11,Dry natural gas,26
12,Nuclear,27
13,Fossil fuels,28
14,Renewables,29
15,Gross natural gas,3
16,Natural gas,3002
17,Hydroelectricity,33
18,Non-hydroelectric renewables,34
19,Geothermal,35
20,"Solar, tide, wave, fuel cell",36
21,Wind,37
22,Biomass and waste,38
23,Coal and coke,4002
24,Petroleum and other liquids,4006
25,CO2 emissions,4008
26,Consumed natural gas,4010
27,Vented and flared natural gas,43
28,Primary energy,44
29,Coal,4411
30,Natural gas,4413
31,Petroleum and other liquids,4415
32,Nuclear,4417
33,Renewables and other,4418
34,"Nuclear, renewables, and other",4419
35,Energy intensity,47
36,Gross domestic product,4701
37,Population,4702
38,Reinjected natural gas,48
39,Petroleum and other liquids,5
40,Total petroleum and other liquids,53
41,Refined petroleum products,54
42,"Crude oil, NGPL, and other liquids",55
43,Refinery processing gain,56
44,Crude oil including lease condensate,57
45,NGPL,58
46,Other liquids,59
47,Motor gasoline,62
48,Jet fuel,63
49,Kerosene,64
50,Distillate fuel oil,65
51,Residual fuel oil,66
52,Liquefied Petroleum Gases,67
53,Liquefied petroleum gases and ethane - refinery,6798
54,Liquefied petroleum gases - nonrefinery,6799
55,Other petroleum liquids,68
56,LPG,6899
57,Coal,7
58,Biofuels,79
59,Fuel ethanol,80
60,Biomass-based diesel,81
61,Hydroelectric pumped storage,82
62,Ethane - non refinery,8399
63,Ethane,8499
