country,country_code_a3,year,sector,region_name,subregion_name,unit,value,source,type
Albania,ALB,2000,Industry and services,Europe,Southern Europe,PJ,25.12,iea,final_energy
Albania,ALB,2000,Passenger transport,Europe,Southern Europe,PJ,20.14,iea,final_energy
Albania,ALB,2000,Residential,Europe,Southern Europe,PJ,15.75,iea,final_energy
Albania,ALB,2001,Industry and services,Europe,Southern Europe,PJ,25.65,iea,final_energy
Albania,ALB,2001,Passenger transport,Europe,Southern Europe,PJ,21.17,iea,final_energy
Albania,ALB,2001,Residential,Europe,Southern Europe,PJ,15.67,iea,final_energy
Albania,ALB,2002,Industry and services,Europe,Southern Europe,PJ,22.66,iea,final_energy
Albania,ALB,2002,Passenger transport,Europe,Southern Europe,PJ,24.33,iea,final_energy
Albania,ALB,2002,Residential,Europe,Southern Europe,PJ,24.78,iea,final_energy
Albania,ALB,2003,Industry and services,Europe,Southern Europe,PJ,26.64,iea,final_energy
Albania,ALB,2003,Passenger transport,Europe,Southern Europe,PJ,26.36,iea,final_energy
Albania,ALB,2003,Residential,Europe,Southern Europe,PJ,15.84,iea,final_energy
Albania,ALB,2004,Industry and services,Europe,Southern Europe,PJ,23.75,iea,final_energy
Albania,ALB,2004,Passenger transport,Europe,Southern Europe,PJ,31.58,iea,final_energy
Albania,ALB,2004,Residential,Europe,Southern Europe,PJ,22.82,iea,final_energy
Albania,ALB,2005,Industry and services,Europe,Southern Europe,PJ,22.13,iea,final_energy
Albania,ALB,2005,Passenger transport,Europe,Southern Europe,PJ,32.63,iea,final_energy
Albania,ALB,2005,Residential,Europe,Southern Europe,PJ,21.48,iea,final_energy
Albania,ALB,2006,Industry and services,Europe,Southern Europe,PJ,24.63,iea,final_energy
Albania,ALB,2006,Passenger transport,Europe,Southern Europe,PJ,26.47,iea,final_energy
Albania,ALB,2006,Residential,Europe,Southern Europe,PJ,18.88,iea,final_energy
Albania,ALB,2007,Industry and services,Europe,Southern Europe,PJ,22.39,iea,final_energy
Albania,ALB,2007,Passenger transport,Europe,Southern Europe,PJ,28.8,iea,final_energy
Albania,ALB,2007,Residential,Europe,Southern Europe,PJ,17.71,iea,final_energy
Albania,ALB,2008,Industry and services,Europe,Southern Europe,PJ,22.44,iea,final_energy
Albania,ALB,2008,Passenger transport,Europe,Southern Europe,PJ,31.17,iea,final_energy
Albania,ALB,2008,Residential,Europe,Southern Europe,PJ,18.64,iea,final_energy
Albania,ALB,2009,Industry and services,Europe,Southern Europe,PJ,22.89,iea,final_energy
