Country,Year,Country_Code,Region,SubRegion,OilReserves
Algeria,1980,DZA,Africa,Northern Africa,8.2
Algeria,1981,DZA,Africa,Northern Africa,8.08
Algeria,1982,DZA,Africa,Northern Africa,9.44
Algeria,1983,DZA,Africa,Northern Africa,9.22
Algeria,1984,DZA,Africa,Northern Africa,9.0
Algeria,1985,DZA,Africa,Northern Africa,8.82
Algeria,1986,DZA,Africa,Northern Africa,8.8
Algeria,1987,DZA,Africa,Northern Africa,8.564
Algeria,1988,DZA,Africa,Northern Africa,9.2
Algeria,1989,DZA,Africa,Northern Africa,9.236
Algeria,1990,DZA,Africa,Northern Africa,9.2
Algeria,1991,DZA,Africa,Northern Africa,9.2
Algeria,1992,DZA,Africa,Northern Africa,9.2
Algeria,1993,DZA,Africa,Northern Africa,9.2
Algeria,1994,DZA,Africa,Northern Africa,9.979
Algeria,1995,DZA,Africa,Northern Africa,9.979
Algeria,1996,DZA,Africa,Northern Africa,10.8
Algeria,1997,DZA,Africa,Northern Africa,11.2
Algeria,1998,DZA,Africa,Northern Africa,11.314
Algeria,1999,DZA,Africa,Northern Africa,11.314
Algeria,2000,DZA,Africa,Northern Africa,11.314
Algeria,2001,DZA,Africa,Northern Africa,11.314
Algeria,2002,DZA,Africa,Northern Africa,11.314
Algeria,2003,DZA,Africa,Northern Africa,11.8
Algeria,2004,DZA,Africa,Northern Africa,11.8
Algeria,2005,DZA,Africa,Northern Africa,12.27
Algeria,2006,DZA,Africa,Northern Africa,12.27
Algeria,2007,DZA,Africa,Northern Africa,12.2
Algeria,2008,DZA,Africa,Northern Africa,12.2
Algeria,2009,DZA,Africa,Northern Africa,12.2
Algeria,2010,DZA,Africa,Northern Africa,12.2
Algeria,2011,DZA,Africa,Northern Africa,12.2
Algeria,2012,DZA,Africa,Northern Africa,12.2
Algeria,2013,DZA,Africa,Northern Africa,12.2
Algeria,2014,DZA,Africa,Northern Africa,12.2
Algeria,2015,DZA,Africa,Northern Africa,12.2
Algeria,2016,DZA,Africa,Northern Africa,12.2
Algeria,2017,DZA,Africa,Northern Africa,12.2
Algeria,2018,DZA,Africa,Northern Africa,12.2
Algeria,2019,DZA,Africa,Northern Africa,12.2
Algeria,2020,DZA,Africa,Northern Africa,12.2
Angola,1980,AGO,Africa,Middle Africa,1.375
Angola,1981,AGO,Africa,Middle Africa,1.108
Angola,1982,AGO,Africa,Middle Africa,1.457
Angola,1983,AGO,Africa,Middle Africa,1.715
Angola,1984,AGO,Africa,Middle Africa,2.147
Angola,1985,AGO,Africa,Middle Africa,2.018
Angola,1986,AGO,Africa,Middle Africa,1.4
Angola,1987,AGO,Africa,Middle Africa,2.0
Angola,1988,AGO,Africa,Middle Africa,2.0
Angola,1989,AGO,Africa,Middle Africa,2.074
Angola,1990,AGO,Africa,Middle Africa,1.625
Angola,1991,AGO,Africa,Middle Africa,1.45
Angola,1992,AGO,Africa,Middle Africa,1.334
Angola,1993,AGO,Africa,Middle Africa,1.901
Angola,1994,AGO,Africa,Middle Africa,2.965
Angola,1995,AGO,Africa,Middle Africa,3.125
Angola,1996,AGO,Africa,Middle Africa,3.695
Angola,1997,AGO,Africa,Middle Africa,3.9
Angola,1998,AGO,Africa,Middle Africa,4.03
Angola,1999,AGO,Africa,Middle Africa,5.05
Angola,2000,AGO,Africa,Middle Africa,5.972
Angola,2001,AGO,Africa,Middle Africa,6.5
Angola,2002,AGO,Africa,Middle Africa,8.9
Angola,2003,AGO,Africa,Middle Africa,8.801
